instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
10558,2012-03-21,2,1,3,0,0,3,1,1,41.0,50.0,88.0,0.0,4,29,33
10559,2012-03-21,2,1,3,1,0,3,1,1,41.0,50.0,83.0,8.959999999999999,4,22,26
10560,2012-03-21,2,1,3,2,0,3,1,1,41.0,48.480000000000004,88.0,13.43,2,8,10
10561,2012-03-21,2,1,3,3,0,3,1,2,41.0,48.480000000000004,88.0,19.400000000000002,1,7,8
10562,2012-03-21,2,1,3,4,0,3,1,2,41.0,48.480000000000004,88.0,13.43,0,4,4
10563,2012-03-21,2,1,3,5,0,3,1,2,41.0,48.480000000000004,88.0,13.43,4,35,39
10564,2012-03-21,2,1,3,6,0,3,1,2,41.0,46.97,94.0,22.39,10,139,149
10565,2012-03-21,2,1,3,7,0,3,1,3,41.0,46.97,94.0,19.400000000000002,34,338,372
10566,2012-03-21,2,1,3,8,0,3,1,3,41.0,46.97,94.0,10.45,33,502,535
10567,2012-03-21,2,1,3,9,0,3,1,2,41.0,48.480000000000004,88.0,16.42,38,255,293
10568,2012-03-21,2,1,3,10,0,3,1,2,41.0,50.0,83.0,16.42,30,124,154
10569,2012-03-21,2,1,3,11,0,3,1,2,41.0,50.0,83.0,16.42,38,154,192
10570,2012-03-21,2,1,3,12,0,3,1,2,41.0,50.0,77.0,0.0,58,171,229
10571,2012-03-21,2,1,3,13,0,3,1,2,41.0,50.0,83.0,0.0,81,222,303
10572,2012-03-21,2,1,3,14,0,3,1,2,41.0,50.0,78.0,0.0,74,151,225
10573,2012-03-21,2,1,3,15,0,3,1,2,41.0,50.0,78.0,0.0,68,175,243
10574,2012-03-21,2,1,3,16,0,3,1,1,41.0,50.0,73.0,0.0,91,287,378
10575,2012-03-21,2,1,3,17,0,3,1,1,41.0,50.0,69.0,8.959999999999999,113,616,729
10576,2012-03-21,2,1,3,18,0,3,1,1,41.0,50.0,69.0,0.0,152,627,779
10577,2012-03-21,2,1,3,19,0,3,1,1,41.0,50.0,64.0,0.0,86,496,582
10578,2012-03-21,2,1,3,20,0,3,1,1,41.0,50.0,78.0,8.959999999999999,76,298,374
10579,2012-03-21,2,1,3,21,0,3,1,1,41.0,50.0,83.0,10.45,47,204,251
10580,2012-03-21,2,1,3,22,0,3,1,1,41.0,50.0,83.0,16.42,41,156,197
10581,2012-03-21,2,1,3,23,0,3,1,1,41.0,50.0,77.0,0.0,37,88,125
10582,2012-03-22,2,1,3,0,0,4,1,1,41.0,50.0,83.0,8.959999999999999,9,32,41
10583,2012-03-22,2,1,3,1,0,4,1,1,41.0,50.0,83.0,8.959999999999999,14,16,30
10584,2012-03-22,2,1,3,2,0,4,1,1,41.0,50.0,83.0,8.959999999999999,1,5,6
10585,2012-03-22,2,1,3,3,0,4,1,1,41.0,50.0,83.0,8.959999999999999,0,7,7
10586,2012-03-22,2,1,3,4,0,4,1,2,41.0,46.97,100.0,8.959999999999999,0,6,6
10587,2012-03-22,2,1,3,5,0,4,1,2,41.0,46.97,100.0,8.959999999999999,2,32,34
10588,2012-03-22,2,1,3,6,0,4,1,2,41.0,46.97,100.0,8.959999999999999,10,126,136
10589,2012-03-22,2,1,3,7,0,4,1,2,41.0,46.97,100.0,8.959999999999999,29,332,361
10590,2012-03-22,2,1,3,8,0,4,1,2,41.0,48.480000000000004,94.0,8.959999999999999,51,598,649
10591,2012-03-22,2,1,3,9,0,4,1,2,41.0,48.480000000000004,94.0,8.959999999999999,41,277,318
10592,2012-03-22,2,1,3,10,0,4,1,2,41.0,48.480000000000004,100.0,8.959999999999999,32,110,142
10593,2012-03-22,2,1,3,11,0,4,1,2,41.0,50.0,94.0,0.0,53,166,219
10594,2012-03-22,2,1,3,12,0,4,1,2,41.0,50.0,88.0,19.400000000000002,48,224,272
10595,2012-03-22,2,1,3,13,0,4,1,1,41.0,50.0,78.0,8.959999999999999,83,215,298
10596,2012-03-22,2,1,3,14,0,4,1,1,41.0,50.0,73.0,10.45,96,161,257
10597,2012-03-22,2,1,3,15,0,4,1,1,41.0,50.0,69.0,19.400000000000002,102,202,304
10598,2012-03-22,2,1,3,16,0,4,1,1,41.0,50.0,65.0,19.400000000000002,125,300,425
