instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
446,2012-03-21,2,1,3,0,3,1,2,41.0,50.0,82.125,8.955829999999999,1122,5108,6230
447,2012-03-22,2,1,3,0,4,1,1,41.0,50.0,83.125,11.7562,1334,5537,6871
448,2012-03-23,2,1,3,0,5,1,2,41.0,50.0,69.41669999999999,11.63,2469,5893,8362
449,2012-03-24,2,1,3,0,6,0,2,41.0,48.673300000000005,88.5417,19.2783,1033,2339,3372
450,2012-03-25,2,1,3,0,0,0,2,41.0,43.748799999999996,88.0833,22.0775,1532,3464,4996
451,2012-03-26,2,1,3,0,1,1,1,41.0,43.875,47.7917,38.682100000000005,795,4763,5558
452,2012-03-27,2,1,3,0,2,1,1,32.3333,31.5654,28.999999999999996,18.7192,531,4571,5102
453,2012-03-28,2,1,3,0,3,1,1,41.0,47.095,48.125,29.1671,674,5024,5698
454,2012-03-29,2,1,3,0,4,1,1,41.0,48.2304,43.9167,31.965,834,5299,6133
455,2012-03-30,2,1,3,0,5,1,2,37.0,37.5621,58.0833,13.8067,796,4663,5459
456,2012-03-31,2,1,3,0,6,0,2,41.0,42.1708,73.83330000000001,25.0617,2301,3934,6235
457,2012-04-01,2,1,4,0,0,0,2,41.0,41.7287,67.625,17.2267,2347,3694,6041
458,2012-04-02,2,1,4,0,1,1,1,41.0,42.7513,50.4348,31.2139,1208,4728,5936
459,2012-04-03,2,1,4,0,2,1,1,41.0,46.1483,39.6667,10.0133,1348,5424,6772
460,2012-04-04,2,1,4,0,3,1,1,41.0,50.0,46.958299999999994,18.0975,1058,5378,6436
461,2012-04-05,2,1,4,0,4,1,1,41.0,43.1163,37.416700000000006,21.9529,1192,5265,6457
462,2012-04-06,2,1,4,0,5,1,1,40.3333,39.076699999999995,37.7083,30.0388,1807,4653,6460
463,2012-04-07,2,1,4,0,6,0,1,41.0,42.612899999999996,25.4167,27.487099999999998,3252,3605,6857
464,2012-04-08,2,1,4,0,0,0,1,41.0,49.2425,27.5833,23.2596,2230,2939,5169
465,2012-04-09,2,1,4,0,1,1,1,41.0,47.6638,31.75,35.8196,905,4680,5585
466,2012-04-10,2,1,4,0,2,1,1,41.0,43.6233,43.5,24.9375,819,5099,5918
467,2012-04-11,2,1,4,0,3,1,1,34.8696,33.7274,46.9565,29.527399999999997,482,4380,4862
468,2012-04-12,2,1,4,0,4,1,1,39.75,38.7604,46.625,29.0429,663,4746,5409
469,2012-04-13,2,1,4,0,5,1,1,41.0,43.180800000000005,40.8333,15.5471,1252,5146,6398
470,2012-04-14,2,1,4,0,6,0,1,41.0,48.7996,50.29169999999999,19.0917,2795,4665,7460
471,2012-04-15,2,1,4,0,0,0,1,41.0,50.0,50.79169999999999,22.5129,2846,4286,7132
472,2012-04-16,2,1,4,1,1,0,1,41.0,50.0,56.166700000000006,28.4829,1198,5172,6370
473,2012-04-17,2,1,4,0,2,1,1,41.0,50.0,39.0417,27.3629,989,5702,6691
474,2012-04-18,2,1,4,0,3,1,2,41.0,45.7038,56.9167,16.7912,347,4020,4367
475,2012-04-19,2,1,4,0,4,1,1,41.0,49.3046,61.25000000000001,6.5929199999999994,846,5719,6565
476,2012-04-20,2,1,4,0,5,1,1,41.0,50.0,69.4583,14.9871,1340,5950,7290
477,2012-04-21,2,1,4,0,6,0,1,41.0,50.0,68.2917,28.3587,2541,4083,6624
478,2012-04-22,2,1,4,0,0,0,3,39.6667,38.9504,83.54169999999999,34.4546,120,907,1027
479,2012-04-23,2,1,4,0,1,1,2,32.1667,30.112499999999997,76.66669999999999,30.3496,195,3019,3214
480,2012-04-24,2,1,4,0,2,1,1,41.0,40.5283,45.4167,24.938299999999998,518,5115,5633
481,2012-04-25,2,1,4,0,3,1,1,41.0,47.0317,42.7917,11.879199999999999,655,5541,6196
482,2012-04-26,2,1,4,0,4,1,2,41.0,48.3583,75.66669999999999,17.6625,475,4551,5026
483,2012-04-27,2,1,4,0,5,1,1,41.0,45.2637,40.0833,34.7633,1014,5219,6233
484,2012-04-28,2,1,4,0,6,0,2,37.6667,37.7504,48.9583,12.9975,1120,3100,4220
485,2012-04-29,2,1,4,0,0,0,1,41.0,45.0121,58.7083,11.6908,2229,4075,6304
486,2012-04-30,2,1,4,0,1,1,2,41.0,45.7696,56.99999999999999,17.163800000000002,665,4907,5572
487,2012-05-01,2,1,5,0,2,1,2,41.0,50.0,65.95830000000001,15.6096,653,5087,5740
488,2012-05-02,2,1,5,0,3,1,1,41.0,50.0,79.7083,13.805799999999998,667,5502,6169
489,2012-05-03,2,1,5,0,4,1,2,41.0,50.0,76.83330000000001,13.3696,764,5657,6421
490,2012-05-04,2,1,5,0,5,1,1,41.0,50.0,73.54169999999999,16.2938,1069,5227,6296
491,2012-05-05,2,1,5,0,6,0,2,41.0,50.0,75.66669999999999,15.299199999999999,2496,4387,6883
492,2012-05-06,2,1,5,0,0,0,2,41.0,50.0,74.0,14.987900000000002,2135,4224,6359
493,2012-05-07,2,1,5,0,1,1,2,41.0,50.0,66.41669999999999,23.072100000000002,1008,5265,6273
494,2012-05-08,2,1,5,0,2,1,2,41.0,50.0,68.58330000000001,29.602899999999998,738,4990,5728
495,2012-05-09,2,1,5,0,3,1,2,41.0,50.0,74.4167,21.641199999999998,620,4097,4717
496,2012-05-10,2,1,5,0,4,1,1,41.0,49.1783,55.2083,31.406299999999998,1026,5546,6572
497,2012-05-11,2,1,5,0,5,1,1,41.0,50.0,36.0417,23.6937,1319,5711,7030
498,2012-05-12,2,1,5,0,6,0,1,41.0,50.0,48.0417,12.3133,2622,4807,7429
499,2012-05-13,2,1,5,0,0,0,1,41.0,50.0,57.62500000000001,22.5117,2172,3946,6118
500,2012-05-14,2,1,5,0,1,1,2,41.0,50.0,78.95830000000001,21.269199999999998,342,2501,2843
501,2012-05-15,2,1,5,0,2,1,2,41.0,50.0,79.45830000000001,14.7392,625,4490,5115
502,2012-05-16,2,1,5,0,3,1,1,41.0,50.0,69.7917,12.251199999999999,991,6433,7424
503,2012-05-17,2,1,5,0,4,1,1,41.0,50.0,52.0,22.9475,1242,6142,7384
504,2012-05-18,2,1,5,0,5,1,1,41.0,50.0,52.33330000000001,13.6817,1521,6118,7639
505,2012-05-19,2,1,5,0,6,0,1,41.0,50.0,45.625,8.397499999999999,3410,4884,8294
506,2012-05-20,2,1,5,0,0,0,1,41.0,50.0,53.041700000000006,25.436700000000002,2704,4425,7129
507,2012-05-21,2,1,5,0,1,1,2,41.0,50.0,81.125,23.3204,630,3729,4359
508,2012-05-22,2,1,5,0,2,1,2,41.0,50.0,76.5833,11.816699999999999,819,5254,6073
509,2012-05-23,2,1,5,0,3,1,2,41.0,50.0,77.45830000000001,10.2,766,4494,5260
510,2012-05-24,2,1,5,0,4,1,1,41.0,50.0,71.6667,17.2896,1059,5711,6770
511,2012-05-25,2,1,5,0,5,1,1,41.0,50.0,74.70830000000001,14.055000000000001,1417,5317,6734
512,2012-05-26,2,1,5,0,6,0,1,41.0,50.0,73.25,19.8992,2855,3681,6536
513,2012-05-27,2,1,5,0,0,0,1,41.0,50.0,69.7083,21.5171,3283,3308,6591
514,2012-05-28,2,1,5,1,1,0,1,41.0,50.0,67.625,19.6521,2557,3486,6043
515,2012-05-29,2,1,5,0,2,1,1,41.0,50.0,68.45830000000001,29.54,880,4863,5743
516,2012-05-30,2,1,5,0,3,1,2,41.0,50.0,67.0,13.4329,745,6110,6855
517,2012-05-31,2,1,5,0,4,1,1,41.0,50.0,49.2917,19.527900000000002,1100,6238,7338
518,2012-06-01,2,1,6,0,5,1,2,41.0,50.0,75.5417,23.7563,533,3594,4127
519,2012-06-02,2,1,6,0,6,0,1,41.0,50.0,54.9167,18.656200000000002,2795,5325,8120
520,2012-06-03,2,1,6,0,0,0,1,41.0,50.0,49.3333,18.4087,2494,5147,7641
521,2012-06-04,2,1,6,0,1,1,1,41.0,50.0,48.7083,28.4833,1071,5927,6998
522,2012-06-05,2,1,6,0,2,1,2,41.0,50.0,61.3333,20.9575,968,6033,7001
523,2012-06-06,2,1,6,0,3,1,1,41.0,50.0,61.12499999999999,7.7125,1027,6028,7055
524,2012-06-07,2,1,6,0,4,1,1,41.0,50.0,56.7083,15.735,1038,6456,7494
525,2012-06-08,2,1,6,0,5,1,1,41.0,50.0,46.791700000000006,17.5383,1488,6248,7736
526,2012-06-09,2,1,6,0,6,0,1,41.0,50.0,43.7083,14.4287,2708,4790,7498
527,2012-06-10,2,1,6,0,0,0,1,41.0,50.0,53.833299999999994,13.372100000000001,2224,4374,6598
528,2012-06-11,2,1,6,0,1,1,2,41.0,50.0,58.791700000000006,20.7713,1017,5647,6664
529,2012-06-12,2,1,6,0,2,1,2,41.0,50.0,83.3333,21.4546,477,4495,4972
530,2012-06-13,2,1,6,0,3,1,1,41.0,50.0,58.2083,34.3279,1173,6248,7421
531,2012-06-14,2,1,6,0,4,1,1,41.0,50.0,56.958299999999994,25.3733,1180,6183,7363
532,2012-06-15,2,1,6,0,5,1,1,41.0,50.0,58.958299999999994,17.6617,1563,6102,7665
533,2012-06-16,2,1,6,0,6,0,1,41.0,50.0,50.416700000000006,16.666700000000002,2963,4739,7702
534,2012-06-17,2,1,6,0,0,0,1,41.0,50.0,59.875,14.490400000000001,2634,4344,6978
535,2012-06-18,2,1,6,0,1,1,2,41.0,50.0,77.79169999999999,17.474600000000002,653,4446,5099
536,2012-06-19,2,1,6,0,2,1,1,41.0,50.0,69.0,14.8017,968,5857,6825
537,2012-06-20,2,1,6,0,3,1,1,41.0,50.0,59.2083,11.3812,872,5339,6211
